number of rooms,security level of the community,residence space,building space,noise level,waterfront,view,air quality level,aboveground space ,basement space,building year,exchange rate,LAT,LNG,timestamp,transaction year,transaction month,transaction day,filled decoration year,total
5,2.5,2820,67518,2.0,0,0,3,2820,0,1979,6.784829586,47.557085,-122.007748,1398988800,2014,5,2,2014,675000.0001046696
2,1.0,1210,9400,1.0,0,0,2,1210,0,1949,6.24312897,47.544034,-122.349874,1398988800,2014,5,2,1949,234999.99998835428
4,2.5,2200,9397,2.0,0,0,3,2200,0,1987,6.010127234,47.310617,-122.263291,1398988800,2014,5,2,2000,237227.85712483764
3,1.5,1200,9720,1.0,0,0,4,1200,0,1965,7.560375075,47.367737,-122.117029,1398988800,2014,5,2,1965,242499.99993492095
3,1.75,1370,5858,1.0,0,0,3,1370,0,1987,6.543940818,47.391319,-122.314971,1398988800,2014,5,2,2000,257949.9999618996
4,2.0,1480,8625,1.0,0,0,4,1480,0,1974,6.685126872,47.446982,-122.201521,1398988800,2014,5,2,1974,260000.0000118047
3,1.5,1180,10277,1.0,0,0,3,1180,0,1983,7.796227913,47.388327,-121.606221,1398988800,2014,5,2,2009,275000.0000180042
3,2.5,2090,10834,1.0,0,0,4,1360,730,1987,7.628943769,47.304801,-122.316969,1398988800,2014,5,2,1987,285000.000019069
3,3.0,1850,19966,1.0,0,0,4,1090,760,1992,7.825561964,47.419378,-121.958008,1398988800,2014,5,2,1992,287200.0000074576
2,2.5,1630,1368,2.0,0,0,3,1280,350,2009,7.553219422,47.544034,-122.349874,1398988800,2014,5,2,2009,295000.0000379146
3,2.5,2540,5050,2.0,0,0,3,2540,0,2006,6.911986808,47.367737,-122.117029,1398988800,2014,5,2,2006,300000.00001416676
2,1.0,850,6174,1.0,0,0,4,850,0,1950,6.249731803,47.754413,-122.300477,1398988800,2014,5,2,1983,308499.9999985842
3,1.0,1160,9180,1.0,0,0,3,1160,0,1968,7.301034319,47.752379,-122.060283,1398988800,2014,5,2,1997,314999.99995122507
3,2.25,1580,16215,1.0,0,0,4,1580,0,1978,7.1345454,47.573424,-121.899182,1398988800,2014,5,2,2000,335000.0000651148
2,2.0,1350,2560,1.0,0,0,3,1350,0,1976,6.740098473,47.68099,-122.120531,1398988800,2014,5,2,1976,334999.99997629155
